 "lexp" , "perf" , "perflabel" , "yoc" ,
 "http://data.open.ac.uk/led/lexp/1450107526002" , "http://data.open.ac.uk/led/performance/c0c9417c03008f20f6fa7d8a5e2cbc47/1450107745381" , "performance of 'Lebensmesse (Mass of Life)'" , "11" ,
 "http://data.open.ac.uk/led/lexp/1431986750939" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Beethoven's+Emperor+Concerto/1431986732300/1431986732311" , "performance of 'Beethoven's Emperor Concerto'" , "11" ,
 "http://data.open.ac.uk/led/lexp/1425427590149" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Polonaise/1425427576410/1425427576427" , "performance of 'Polonaise'" , "16" ,
 "http://data.open.ac.uk/led/lexp/1400690399597" , "http://data.open.ac.uk/led/performance/Tchaikovsky+symphony+(,+performance+of)/1400690276244" , "performance of 'Tchaikovsky symphony'" , "16" ,
 "http://data.open.ac.uk/led/lexp/1432978710604" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Deryn+du/1432978668119/1432978668131" , "performance of 'Deryn du'" , "11" ,
 "http://data.open.ac.uk/led/lexp/1471883701845" , "http://data.open.ac.uk/led/performance/7925f9c3fd53abe53d3eab7629991c27/1471883664935" , "performance of 'Livery Stable Blues'" , "17" ,
 "http://data.open.ac.uk/led/lexp/1424560209235" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Opera/1424560155983/1424560155997" , "performance of 'Rimsky-Korsakov's Opera'" , "17" ,
 "http://data.open.ac.uk/led/lexp/1424561497562" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Goyescas/1424561471955/1424561471969" , "performance of 'Goyescas'" , "16" ,
 "http://data.open.ac.uk/led/lexp/1436021768870" , "http://data.open.ac.uk/led/performance/ed3690f75697ca1524ae57156d2f347f/1472553215847" , "performance of 'Nearer my God to thee'" , "17" ,
 "http://data.open.ac.uk/led/lexp/1445895142087" , "http://data.open.ac.uk/led/performance/3fdb58c863e5fec3f8202772ac7448a5/1445894855011" , "performance of 'Prelude No. 17'" , "11" ,
 "http://data.open.ac.uk/led/lexp/1445895142087" , "http://data.open.ac.uk/led/performance/8820422edc703e7ef4fef59e5941e545/1445895049506" , "performance of ''To Spring''" , "11" ,
 "http://data.open.ac.uk/led/lexp/1450290969672" , "http://data.open.ac.uk/led/performance/85ece4fe8ad87ab286ca511d198a77c9/1450290925586" , "performance of 'The Firebird'" , "10" ,
 "http://data.open.ac.uk/led/lexp/1449945081156" , "http://data.open.ac.uk/led/performance/17853f941ffc1addcb93e8b75d0d816d/1450127779222" , "performance of 'Lebensmesse'" , "11" ,
 "http://data.open.ac.uk/led/lexp/1433140776828" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Choral+Fugue/1433140662739/1433140662754" , "performance of 'Choral Fugue'" , "10" ,
 "http://data.open.ac.uk/led/lexp/1433140776828" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Larghetto/1433140509275/1433140509287" , "performance of 'Larghetto'" , "10" ,
 "http://data.open.ac.uk/led/lexp/1433140776828" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Organ+works/1432984369517/1433140704004" , "performance of 'Organ works'" , "10" ,
 "http://data.open.ac.uk/led/lexp/1447161963857" , "http://data.open.ac.uk/led/performance/d1252b7745b150107bfb755122b8a06f/1447161916196" , "performance of 'Stop, stop, stop'" , "11" ,
 "http://data.open.ac.uk/led/lexp/1464083338548" , "http://data.open.ac.uk/led/performance/128299a875f1031ab3abc71b51ace7b4/1464083287148" , "performance of 'Russian Passion service'" , "25" ,
 "http://data.open.ac.uk/led/lexp/1392137786332" , "http://data.open.ac.uk/led/performance/Vorspiel+Act+3+and+Quintet+from+Die+Meistersinger+von+Nurnberg+(,+performance+of)/1392138186546" , "performance of 'Vorspiel Act 3 and Quintet from Die Meistersinger von Nurnberg'" , "17" ,
 "http://data.open.ac.uk/led/lexp/1464520035341" , "http://data.open.ac.uk/led/performance/95ea0185af23d595720a3c25f7cfe0ee/1464520002786" , "performance of 'Tune from 'Matelots''" , "25" ,
 "http://data.open.ac.uk/led/lexp/1405929643286" , "http://data.open.ac.uk/led/performance/http://led.kmi.open.ac.uk/item/music/Auld+Lang+Syne/1396279950034/1406210288400" , "performance of 'Auld Lang Syne'" , "15" ,
 "http://data.open.ac.uk/led/lexp/1392146433129" , "http://data.open.ac.uk/led/performance/The+Entry+of+the+Gods+into+Valhalla++from+Das+Rheingold+(,+performance+of)/1392148766576" , "performance of 'The Entry of the Gods into Valhalla  from Das Rheingold'" , "18" ,
 "http://data.open.ac.uk/led/lexp/1392146433129" , "http://data.open.ac.uk/led/performance/Pilgrims'+Chorus+from+Tannhauser+(,+performance+of)/1392148605429" , "performance of 'Pilgrims' Chorus from Tannhauser'" , "18" ,
 "http://data.open.ac.uk/led/lexp/1392146433129" , "http://data.open.ac.uk/led/performance/Bridal+March+from+the+Birds+(,+performance+of)/1392148477837" , "performance of 'Bridal March from the Birds'" , "18" ,
 "http://data.open.ac.uk/led/lexp/1392146433129" , "http://data.open.ac.uk/led/performance/Marches+from+'Jephtha'+and+Scipio+(,+performance+of)/1392146384021" , "performance of 'Marches from 'Jephtha' and Scipio'" , "18" ,
 "http://data.open.ac.uk/led/lexp/1397143278944" , "http://data.open.ac.uk/led/performance/matins+(,+performance+of)/1397143243001" , "performance of 'matins'" , "18" ,
 "http://data.open.ac.uk/led/lexp/1399468859293" , "http://data.open.ac.uk/led/performance/organ+voluntary+(,+performance+of)/1399468786293" , "performance of 'organ voluntary'" , "16" ,
 "http://data.open.ac.uk/led/lexp/1464039723509" , "http://data.open.ac.uk/led/performance/426e094c0c82cc8b82f714a5abee94cf/1464039827845" , "performance of 'The Love of Three Oranges, Op.33'" , "25" ,
