 "perf" , "place" , "placelabel" , "lat" , "long" , "yoc" ,
 "http://data.open.ac.uk/led/performance/e9732af69ff1498be5a85d9f3117afcf/1446402666666" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "35" ,
 "http://data.open.ac.uk/led/performance/2649f36f64b110803141a3b336fc0feb/1448909200574" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "37" ,
 "http://data.open.ac.uk/led/performance/45b791819bc9e65dc9716ed0668baa45/1446402530072" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "35" ,
 "http://data.open.ac.uk/led/performance/7da17eeccf4a97620753577a9ddd70e0/1446402725490" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "35" ,
 "http://data.open.ac.uk/led/performance/e9732af69ff1498be5a85d9f3117afcf/1446402666666" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "35" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Ysa%25C3%25BFe's+violin+sonatas/1432735633398/1432735633409" , "http://dbpedia.org/resource/Belgium" , "Belgium" , "50.85" , "4.0" , "37" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Ysa%25C3%25BFe's+violin+sonatas/1432735633398/1432735633409" , "http://dbpedia.org/resource/Belgium" , "Belgium" , "50.85" , "4.0" , "37" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Ysa%25C3%25BFe's+violin+sonatas/1432735633398/1432735633409" , "http://dbpedia.org/resource/Belgium" , "Belgium" , "50.85" , "4.35" , "37" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Ysa%25C3%25BFe's+violin+sonatas/1432735633398/1432735633409" , "http://dbpedia.org/resource/Belgium" , "Belgium" , "50.85" , "4.35" , "37" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Ysa%25C3%25BFe's+violin+sonatas/1432735633398/1432735633409" , "http://dbpedia.org/resource/Belgium" , "Belgium" , "50.8333" , "4.0" , "37" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Ysa%25C3%25BFe's+violin+sonatas/1432735633398/1432735633409" , "http://dbpedia.org/resource/Belgium" , "Belgium" , "50.8333" , "4.0" , "37" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Ysa%25C3%25BFe's+violin+sonatas/1432735633398/1432735633409" , "http://dbpedia.org/resource/Belgium" , "Belgium" , "50.8333" , "4.35" , "37" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Ysa%25C3%25BFe's+violin+sonatas/1432735633398/1432735633409" , "http://dbpedia.org/resource/Belgium" , "Belgium" , "50.8333" , "4.35" , "37" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Overture+to+'Die+Meistersinger+von+N%25C3%25BCrnberg'/1426878496047/1426878496060" , "http://dbpedia.org/resource/Brussels" , "Brussels" , "50.8467" , "4.3525" , "35" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Overture+to+'The+Wreckers'/1426878667924/1426878667936" , "http://dbpedia.org/resource/Brussels" , "Brussels" , "50.8467" , "4.3525" , "35" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Symphony+G+minor+No.+40,+K+550/1426878586224/1426878586237" , "http://dbpedia.org/resource/Brussels" , "Brussels" , "50.8467" , "4.3525" , "35" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/unspecified+orchestral+music/1419183399089/1426878830836" , "http://dbpedia.org/resource/Brussels" , "Brussels" , "50.8467" , "4.3525" , "35" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Overture+to+'Die+Meistersinger+von+N%25C3%25BCrnberg'/1426878496047/1426878496060" , "http://dbpedia.org/resource/Brussels" , "Brussels" , "50.8467" , "4.3525" , "35" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Overture+to+'The+Wreckers'/1426878667924/1426878667936" , "http://dbpedia.org/resource/Brussels" , "Brussels" , "50.8467" , "4.3525" , "35" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Symphony+G+minor+No.+40,+K+550/1426878586224/1426878586237" , "http://dbpedia.org/resource/Brussels" , "Brussels" , "50.8467" , "4.3525" , "35" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/unspecified+orchestral+music/1419183399089/1426878830836" , "http://dbpedia.org/resource/Brussels" , "Brussels" , "50.8467" , "4.3525" , "35" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Black-bottom+Blues/1426877307222/1426877307234" , "http://dbpedia.org/resource/Florida" , "Florida" , "28.0" , "-82.0" , "36" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Classical/1427124763171/1427124763183" , "http://dbpedia.org/resource/Florida" , "Florida" , "28.0" , "-82.0" , "38" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Black-bottom+Blues/1426877307222/1426877307234" , "http://dbpedia.org/resource/Florida" , "Florida" , "28.0" , "-82.0" , "36" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Classical/1427124763171/1427124763183" , "http://dbpedia.org/resource/Florida" , "Florida" , "28.0" , "-82.0" , "38" ,
 "http://data.open.ac.uk/led/performance/Ave+Maria+(,+performance+of)/1404496828934" , "http://dbpedia.org/resource/Algeciras" , "Algeciras" , "36.1275" , "-5.45389" , "35" ,
 "http://data.open.ac.uk/led/performance/On+with+the+motley+(,+performance+of)/1404496770502" , "http://dbpedia.org/resource/Algeciras" , "Algeciras" , "36.1275" , "-5.45389" , "35" ,
 "http://data.open.ac.uk/led/performance/Ave+Maria+(,+performance+of)/1404496828934" , "http://dbpedia.org/resource/Algeciras" , "Algeciras" , "36.1275" , "-5.45389" , "35" ,
 "http://data.open.ac.uk/led/performance/On+with+the+motley+(,+performance+of)/1404496770502" , "http://dbpedia.org/resource/Algeciras" , "Algeciras" , "36.1275" , "-5.45389" , "35" ,
 "http://data.open.ac.uk/led/performance/Ave+Maria+(,+performance+of)/1404225890616" , "http://dbpedia.org/resource/Southampton" , "Southampton" , "50.9025" , "-1.40417" , "34" ,
 "http://data.open.ac.uk/led/performance/Largo+(,+performance+of)/1404225846227" , "http://dbpedia.org/resource/Southampton" , "Southampton" , "50.9025" , "-1.40417" , "34" ,
 "http://data.open.ac.uk/led/performance/Loch+Lomond+(,+performance+of)/1404225700454" , "http://dbpedia.org/resource/Southampton" , "Southampton" , "50.9025" , "-1.40417" , "34" ,
 "http://data.open.ac.uk/led/performance/Picking+up+sticks+(,+performance+of)/1404226060581" , "http://dbpedia.org/resource/Southampton" , "Southampton" , "50.9025" , "-1.40417" , "34" ,
 "http://data.open.ac.uk/led/performance/Serenade+(,+performance+of)/1404225937696" , "http://dbpedia.org/resource/Southampton" , "Southampton" , "50.9025" , "-1.40417" , "34" ,
 "http://data.open.ac.uk/led/performance/The+Devil's+Trill+(,+performance+of)/1404226024627" , "http://dbpedia.org/resource/Southampton" , "Southampton" , "50.9025" , "-1.40417" , "34" ,
 "http://data.open.ac.uk/led/performance/The+Rose+of+Tralee+(,+performance+of)/1404225811585" , "http://dbpedia.org/resource/Southampton" , "Southampton" , "50.9025" , "-1.40417" , "34" ,
